date,market_group,arrivals,index_2019
2021-11-01,North Asia,432,0.5860905252090152
2021-11-01,Oceania,1649,1.5264243117089888
2021-11-01,Other,52349,2.996692555652749
2021-11-01,Total,41179,2.5849946976399267
2021-12-01,ASEAN,29565,5.449961296641618
2021-12-01,Americas,5460,5.478201323898653
2021-12-01,Europe,13741,5.0946920249834315
2021-12-01,Greater China,5571,1.612399451149376
2021-12-01,North Asia,583,0.7909508708260552
2021-12-01,Oceania,5588,5.172625260054476
2021-12-01,Other,125073,7.159741886438257
2021-12-01,Total,92796,5.825230529206504
2022-01-01,ASEAN,17311,3.1910799934437017
2022-01-01,Americas,3592,3.603974204293766
2022-01-01,Europe,10760,3.989439355856322
2022-01-01,Greater China,5329,1.5423580461631707
2022-01-01,North Asia,552,0.7488934488781861
2022-01-01,Oceania,3846,3.5601139495650527
2022-01-01,Other,72949,4.175929344253231
2022-01-01,Total,57174,3.5890742087681873
2022-02-01,ASEAN,18230,3.360486874269464
2022-02-01,Americas,5109,5.126031238790882
2022-02-01,Europe,15414,5.714983106985999
2022-02-01,Greater China,5646,1.634106498149233
2022-02-01,North Asia,536,0.7271863923889633
2022-02-01,Oceania,4625,4.281208272682883
2022-02-01,Other,85964,4.920966567730671
2022-02-01,Total,67765,4.253919854429919
2022-03-01,ASEAN,40248,7.419247159385484
2022-03-01,Americas,7594,7.619315174667834
2022-03-01,Europe,21336,7.910657815664544
2022-03-01,Greater China,7966,2.3055778186781417
2022-03-01,North Asia,869,1.1789645055709126
2022-03-01,Oceania,8044,7.4460625611807805
2022-03-01,Other,156339,8.949548557913143
2022-03-01,Total,121207,7.60871930636593
2022-04-01,ASEAN,134174,24.733404600561222
2022-04-01,Americas,17457,17.515194232838606
2022-04-01,Europe,48843,18.109311009116205
2022-04-01,Greater China,12677,3.6690697975624915
2022-04-01,North Asia,4362,5.917886275374363
2022-04-01,Oceania,28828,26.68511828862749
2022-04-01,Other,343822,19.681919957776454
2022-04-01,Total,295095,18.52446660433848
2022-05-01,ASEAN,200884,37.030611368664125
2022-05-01,Americas,30448,30.54950071612934
2022-05-01,Europe,64244,23.81947416149011
2022-05-01,Greater China,15762,4.561952997489942
2022-05-01,North Asia,6339,8.600064442823953
2022-05-01,Oceania,34467,31.90495254801317
2022-05-01,Other,484749,27.74921621540268
2022-05-01,Total,418458,26.268527919206598
2022-06-01,ASEAN,263671,48.604659057899276
2022-06-01,Americas,42456,42.59753029440315
2022-06-01,Europe,74074,27.46410137971201
2022-06-01,Greater China,20264,5.864954672068023
2022-06-01,North Asia,8429,11.435548696728679
2022-06-01,Oceania,54321,50.28313828765554
2022-06-01,Other,624191,35.73150438414192
2022-06-01,Total,543733,34.13261424346998
2022-07-01,ASEAN,325121,59.932246464583784
2022-07-01,Americas,55610,55.7953801505502
2022-07-01,Europe,127121,47.13211155723156
2022-07-01,Greater China,29389,8.505978723717288
2022-07-01,North Asia,12316,16.70900673257924
2022-07-01,Oceania,75642,70.01927700806024
2022-07-01,Other,828214,47.41069988514368
2022-07-01,Total,726739,45.620740221184164
2022-08-01,ASEAN,308942,56.94983740595484
2022-08-01,Americas,53703,53.8820230214889
2022-08-01,Europe,174994,64.88177979913766
2022-08-01,Greater China,26576,7.691819747575986
2022-08-01,North Asia,19220,26.075601607678873
2022-08-01,Oceania,64024,59.26488182708084
2022-08-01,Other,809944,46.364842791564506
2022-08-01,Total,728744,45.74660326712428
2022-09-01,ASEAN,332644,61.319023357350055
2022-09-01,Americas,58181,58.37495077394643
2022-09-01,Europe,153997,57.096811569126956
2022-09-01,Greater China,28758,8.323350101625158
2022-09-01,North Asia,19380,26.292672172571095
2022-09-01,Oceania,91866,85.03729279530502
2022-09-01,Other,879507,50.34694224425458
2022-09-01,Total,782215,49.1032231820689
2022-10-01,ASEAN,368574,67.9422978166206
2022-10-01,Americas,63110,63.32038196909231
2022-10-01,Europe,157447,58.375953370028846
2022-10-01,Greater China,31872,9.22462669305922
2022-10-01,North Asia,17512,23.758373327454336
2022-10-01,Oceania,82470,76.3397289185205
2022-10-01,Other,912567,52.23944555644544
2022-10-01,Total,816833,51.27635381765741
2022-11-01,ASEAN,349626,64.44945605613471
2022-11-01,Americas,76506,76.76103855058432
2022-11-01,Europe,164755,61.0855093935045
2022-11-01,Greater China,36914,10.68391910603627
2022-11-01,North Asia,22738,30.848440653246733
2022-11-01,Oceania,76335,70.66076399897251
2022-11-01,Other,905701,51.846404789914814
2022-11-01,Total,816340,51.245405946511035
2022-12-01,ASEAN,430759,79.40537386030938
2022-12-01,Americas,80996,81.26600630595152
2022-12-01,Europe,153699,56.986323378788185
2022-12-01,Greater China,48233,13.959946639254687
2022-12-01,North Asia,20260,27.48656027947835
2022-12-01,Oceania,98298,90.99118071095828
2022-12-01,Other,1030542,58.99286595135524
2022-12-01,Total,931441,58.470823627684766
2023-01-01,ASEAN,354409,65.33114605721154
2023-01-01,Americas,85312,85.59639401912855
2023-01-01,Europe,198842,73.72380115215455
2023-01-01,Greater China,57944,16.770575084796167
2023-01-01,North Asia,18466,25.052656570624247
2023-01-01,Oceania,113654,105.20571784291899
2023-01-01,Other,1034881,59.24124985551727
2023-01-01,Total,931814,58.49423854845068
2023-02-01,ASEAN,369459,68.10543719587065
2023-02-01,Americas,92574,92.88260244662892
2023-02-01,Europe,237560,88.07910904992825
2023-02-01,Greater China,57241,16.567107697584174
2023-02-01,North Asia,33105,44.913256567232516
2023-02-01,Oceania,79206,73.31835296132333
2023-02-01,Other,1046420,59.90179419064643
2023-02-01,Total,957844,60.12826103514456
2023-03-01,ASEAN,408007,75.21130927647071
2023-03-01,Americas,93091,93.40132590532043
2023-03-01,Europe,245105,90.87653655363977
2023-03-01,Greater China,85928,24.8699084613828
2023-03-01,North Asia,36407,49.39305035019587
2023-03-01,Oceania,81139,75.10766660264139
2023-03-01,Other,1092314,62.52897347103627
2023-03-01,Total,1021040,64.09536380383862
2023-04-01,ASEAN,479281,88.34983596197164
2023-04-01,Americas,77279,77.53661540468205
2023-04-01,Europe,202765,75.17831514778878
2023-04-01,Greater China,125623,36.358724870173766
2023-04-01,North Asia,22232,30.16195499177506
2023-04-01,Oceania,104002,96.27118330282491
2023-04-01,Other,1245946,71.32356115580662
2023-04-01,Total,1128610,70.84802607405226
2023-05-01,ASEAN,447265,82.4480615370341
2023-05-01,Americas,89954,90.25386847801822
2023-05-01,Europe,176127,65.30185738186863
2023-05-01,Greater China,123740,35.81373327683069
2023-05-01,North Asia,29216,39.637085149320804
2023-05-01,Oceania,90846,84.0931128086809
2023-05-01,Other,1267831,72.57635713243388
2023-05-01,Total,1112512,69.8374807805141
2023-06-01,ASEAN,468357,86.33612457335289
2023-06-01,Americas,81648,81.92017979737678
2023-06-01,Europe,134766,49.96661563488226
2023-06-01,Greater China,138248,40.012744448483026
2023-06-01,North Asia,25461,34.542710329506335
2023-06-01,Oceania,104122,96.38226330125127
2023-06-01,Other,1305958,74.75891834791788
2023-06-01,Total,1129310,70.89196828460491
2023-07-01,ASEAN,509396,93.90118331351441
2023-07-01,Americas,98488,98.81631721394332
2023-07-01,Europe,222853,82.62625732069229
2023-07-01,Greater China,266772,77.21109789661126
2023-07-01,North Asia,42901,58.20340190275917
2023-07-01,Oceania,113758,105.30198717488852
2023-07-01,Other,1585012,90.73322625112755
2023-07-01,Total,1419642,89.1174395334258
2023-08-01,ASEAN,420660,77.54374155404238
2023-08-01,Americas,77503,77.76136212566252
2023-08-01,Europe,276823,102.63648427567051
2023-08-01,Greater China,251385,72.7576801341206
2023-08-01,North Asia,68489,92.91841199314871
2023-08-01,Oceania,93104,86.1832681124037
2023-08-01,Other,1437357,82.28078896856424
2023-08-01,Total,1312693,82.40376028143103
2023-09-01,ASEAN,397842,73.33751064361557
2023-09-01,Americas,78925,79.1881024704581
2023-09-01,Europe,212168,78.66462539529036
2023-09-01,Greater China,162940,47.15928317542261
2023-09-01,North Asia,46111,62.558380110909496
2023-09-01,Oceania,119519,110.63475276600767
2023-09-01,Other,1243989,71.21153366088957
2023-09-01,Total,1130762,70.98311698420842
2023-10-01,ASEAN,426098,78.54617312959243
2023-10-01,Americas,77312,77.56972541268364
2023-10-01,Europe,202856,75.21205483007343
2023-10-01,Greater China,149414,43.24448960582173
2023-10-01,North Asia,38197,51.82152729492767
2023-10-01,Oceania,101092,93.57749334098551
2023-10-01,Other,1256913,71.95136163447562
2023-10-01,Total,1125964,70.6819245181632
2023-11-01,ASEAN,409773,75.53685068184427
2023-11-01,Americas,101235,101.57247454668135
2023-11-01,Europe,212810,78.90265699997992
2023-11-01,Greater China,128641,37.23221644144801
2023-11-01,North Asia,41540,56.356945410144654
2023-11-01,Oceania,97864,90.58944138331626
2023-11-01,Other,1209020,69.2097505899881
2023-11-01,Total,1100459,69.08085868938382
2023-12-01,ASEAN,486965,89.7662913180817
2023-12-01,Americas,101636,101.9748113105794
2023-12-01,Europe,204489,75.81751528250032
2023-12-01,Greater China,159478,46.157285885909204
2023-12-01,North Asia,32247,43.74921566299795
2023-12-01,Oceania,124914,115.62872436192639
2023-12-01,Other,1353367,77.47282305232372
2023-12-01,Total,1231565,77.31098362755084
2024-01-01,ASEAN,479307,88.35462875729422
2024-01-01,Americas,106478,106.83295248463018
2024-01-01,Europe,289005,107.15315251294204
2024-01-01,Greater China,238445,69.01249095841195
2024-01-01,North Asia,37894,51.41044991266301
2024-01-01,Oceania,138522,128.22519618347638
2024-01-01,Other,1550220,88.74157545748736
2024-01-01,Total,1419956,89.13715075358799
2024-02-01,ASEAN,424497,78.25104754068923
2024-02-01,Americas,101671,102.0099279857326
2024-02-01,Europe,300698,111.48851630365098
2024-02-01,Greater China,355643,102.93279088226845
2024-02-01,North Asia,45471,61.690097851340575
2024-02-01,Oceania,87479,80.97639318616775
2024-02-01,Other,1520098,87.01725649893281
2024-02-01,Total,1417807,89.00224816719133
2024-03-01,ASEAN,526922,97.13189603751039
2024-03-01,Americas,106422,106.77676580438506
2024-03-01,Europe,290674,107.77196053198705
2024-03-01,Greater China,285602,82.66101383004202
2024-03-01,North Asia,54984,74.5962996252141
2024-03-01,Oceania,99446,92.05384602923718
2024-03-01,Other,1565614,89.62279735669686
2024-03-01,Total,1464865,91.95629465888709
2024-04-01,ASEAN,497378,91.68580584478318
2024-04-01,Americas,88281,88.57529140569542
2024-04-01,Europe,236878,87.826246815663
2024-04-01,Greater China,248591,71.9490202765526
